HGNC ID	Approved symbol	Approved name	RefSeq IDs	Gene group ID
HGNC:5	A1BG	alpha-1-B glycoprotein	NM_130786	594
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	NR_015380	1987
HGNC:24086	A1CF	APOBEC1 complementation factor	NM_014576	725
HGNC:6	A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)		
HGNC:7	A2M	alpha-2-macroglobulin	NM_000014	2148
HGNC:27057	A2M-AS1	A2M antisense RNA 1	NR_026971	1987
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	NM_144670	2148
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1		1987
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2		1987
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	NG_001067	
HGNC:9	A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)		
HGNC:10	A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)		
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	NM_001080438	429
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	NM_017436	454|442
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	NM_016161	442
HGNC:1	A12M1	adenovirus-12 chromosome modification site 1C		
HGNC:2	A12M2	adenovirus-12 chromosome modification site 1A		
HGNC:3	A12M3	adenovirus-12 chromosome modification site 1B		
HGNC:4	A12M4	adenovirus-12 chromosome modification site 17		
HGNC:11	AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)		
HGNC:13666	AAAS	aladin WD repeat nucleoporin		1051|362
HGNC:12	AABT	amino acid transport, beta		
HGNC:13	AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)		
